pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
Kepler-414 b,0,1.710,0.310,-0.140,0,0.153,0.028,-0.012,0,3.50000,3.40000,-2.90000,0,0.01100,0.01100,-0.00900,0
Kepler-414 c,0,3.010,0.540,-0.250,0,0.269,0.048,-0.022,0,29.90000,12.40000,-10.50000,0,0.09400,0.03900,-0.03300,0
Kepler-415 b,0,1.210,0.130,-0.100,0,0.108,0.012,-0.009,0,119.90000,102.10000,-87.40000,0,0.37700,0.32100,-0.27500,0
Kepler-415 c,0,2.010,0.150,-0.060,0,0.179,0.013,-0.005,0,4.70000,,,0,0.01480,,,0
Kepler-416 b,0,2.480,0.990,-0.330,0,0.221,0.088,-0.029,0,58.20000,53.40000,-39.50000,0,0.18300,0.16800,-0.12400,0
Kepler-416 c,0,2.450,0.260,-0.160,0,0.219,0.023,-0.014,0,6.57000,,,0,0.02070,,,0
Kepler-416 d,0,1.610,0.230,-0.170,0,0.144,0.021,-0.015,0,3.22000,,,0,0.01010,,,0
Kepler-417 b,0,2.310,0.860,-0.170,0,0.206,0.077,-0.015,0,11.00000,9.30000,-7.90000,0,0.03500,0.02900,-0.02500,0
Kepler-417 c,0,2.690,0.190,-0.140,0,0.240,0.017,-0.012,0,7.70000,,,0,0.02420,,,0
Kepler-418 b,0,13.450,1.790,-1.790,0,1.200,0.160,-0.160,0,349.61125,,,1,1.10000,,,1
Kepler-418 c,0,5.221,,,0,0.466,,,0,23.70000,,,0,0.07470,,,0
Kepler-419 b,0,10.800,1.400,-1.300,0,0.960,0.120,-0.120,0,794.50000,95.30000,-95.30000,0,2.50000,0.30000,-0.30000,0
Kepler-419 c,0,12.600,,,0,1.130,,,0,2320.10000,127.10000,-127.10000,0,7.30000,0.40000,-0.40000,0
Kepler-42 b,0,0.780,0.220,-0.220,0,0.070,0.020,-0.020,0,0.39900,,,0,0.00126,,,0
Kepler-42 c,0,0.730,0.200,-0.200,0,0.065,0.018,-0.018,0,0.31500,,,0,0.00099,,,0
Kepler-42 d,0,0.570,0.180,-0.180,0,0.051,0.016,-0.016,0,0.13000,,,0,0.00041,,,0
Kepler-421 b,0,4.160,0.190,-0.160,0,0.371,0.017,-0.014,0,16.10000,,,0,0.05080,,,0
Kepler-422 b,0,12.890,1.230,-1.230,0,1.150,0.110,-0.110,0,136.66000,41.32000,-41.32000,0,0.43000,0.13000,-0.13000,0
Kepler-423 b,0,13.361,0.583,-0.583,0,1.192,0.052,-0.052,0,189.10100,25.74300,-25.74300,0,0.59500,0.08100,-0.08100,0
Kepler-424 b,0,9.980,0.900,-0.670,0,0.890,0.080,-0.060,0,327.35000,41.32000,-41.32000,0,1.03000,0.13000,-0.13000,0
